rssi_from_min,interrogator_timestamp,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,velocity_by_doppler,absolute_timestamp,epc96,rospecid,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
1.0,946688009615681,-0.125,946688009615681,5.9518454569962875,65534,1,nan,72,1,-0.0413564929693962,2017-07-03 08:12:58,e2801160600002073a496cb7,1,-113343750.0,0.29411764705882604,1,3880,nan,9,1789047,-67,0
6.0,946688009644624,0.1875,946688009644624,4.3933209765044765,3,1,nan,73,1,0.06200055111600992,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,170109375.0,-0.15625,1,2864,nan,10,1817990,-58,0
1.0,946688009690840,-0.0625,946688009690840,5.988660995905543,65535,1,nan,74,1,-0.020666850372003307,2017-07-03 08:12:58,00e200600322f148a4000000,1,-56703125.0,-0.25806451612903203,1,3904,nan,10,1864206,-47,0
1.0,946688009700693,0.5625,946688009700693,5.117359908386499,9,1,nan,75,1,0.18600165334802976,2017-07-03 08:12:58,e2801160600002073a494098,1,510328125.0,-0.0625,1,3336,nan,10,1874059,-68,0
6.0,946688009710682,-0.25,946688009710682,4.503767593232243,65532,1,nan,76,1,-0.08266740148801323,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-226812500.0,-0.15625,1,2936,nan,10,1884048,-58,0
1.0,946688009732072,0.4375,946688009732072,6.000932842208628,7,1,nan,77,1,0.14466795260402315,2017-07-03 08:12:58,00e200600322f148a4000000,1,396921875.0,-0.25806451612903203,1,3912,nan,10,1905438,-47,0
1.0,946688009741825,0.5,946688009741825,5.056000676871073,8,1,nan,78,1,0.16533480297602646,2017-07-03 08:12:58,e2801160600002073a494098,1,453625000.0,-0.0625,1,3296,nan,10,1915191,-68,0
6.0,946688009751730,0.1875,946688009751730,4.485359823777615,3,1,nan,79,1,0.06200055111600992,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,170109375.0,-0.15625,1,2924,nan,10,1925096,-58,0
1.0,946688009815862,0.1875,946688009815862,6.105243535784852,3,1,nan,80,1,0.06200055111600992,2017-07-03 08:12:58,00e200600322f148a4000000,1,170109375.0,-0.25806451612903203,1,3980,nan,10,1989228,-47,0
7.0,946688009825826,-0.8125,946688009825826,4.430136515413731,65523,1,nan,81,1,-0.268669054836043,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-737140625.0,0.84375,1,2888,nan,10,1999192,-57,0
1.0,946688009848836,0.75,946688009848836,5.448699758569798,12,1,nan,82,1,0.24786560176259984,2017-07-03 08:12:58,e2801160600002073a494098,1,680812500.0,-0.35294117647059409,1,3552,nan,11,2022202,-68,0
0.0,946688009865535,0.5625,946688009865535,5.436427912266712,9,1,-0.05848029822145231,83,1,0.18589920132194987,2017-07-03 08:12:58,e2801160600002073a494098,1,510609375.0,-1.3529411764705941,1,3544,-0.01932700574655543,11,2038901,-69,0
1.0,946688009877642,0.0625,946688009877642,0.030679615757712823,1,1,nan,84,1,0.020655466813549985,2017-07-03 08:12:58,00e200600322f148a4000000,1,56734375.0,-0.3333333333333357,1,20,nan,11,2051008,-47,0
7.0,946688009889752,0.0625,946688009889752,4.454680208019902,1,1,nan,85,1,0.020655466813549985,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,56734375.0,1.2903225806451601,1,2904,nan,11,2063118,-57,0
1.0,946688009935319,-0.8125,946688009935319,5.516194913236766,65523,1,nan,86,1,-0.2685210685761498,2017-07-03 08:12:58,e2801160600002073a494098,1,-737546875.0,-0.35294117647059409,1,3596,nan,11,2108685,-68,0
1.0,946688009945613,0.25,946688009945613,0.12885438618239387,4,1,nan,87,1,0.08262186725419994,2017-07-03 08:12:58,00e200600322f148a4000000,1,226937500.0,-0.3333333333333357,1,84,nan,11,2118979,-47,0
7.0,946688009957612,0.5,946688009957612,4.558990901596125,8,1,nan,88,1,0.16524373450839988,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,453875000.0,1.2903225806451601,1,2972,nan,11,2130978,-57,0
1.0,946688009976924,0.375,946688009976924,0.2086213871524472,6,1,nan,89,1,0.12393280088129992,2017-07-03 08:12:58,00e200600322f148a4000000,1,340406250.0,-0.3333333333333357,1,136,nan,11,2150290,-47,0
7.0,946688009988746,-0.5625,946688009988746,4.669437518323892,65527,1,nan,90,1,-0.18589920132194987,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-510609375.0,1.2903225806451601,1,3044,nan,11,2162112,-57,0
1.0,946688009998800,1.5625,946688009998800,5.473243451175968,25,1,nan,91,1,0.5163866703387496,2017-07-03 08:12:58,e2801160600002073a494098,1,1418359375.0,-0.35294117647059409,1,3568,nan,11,2172166,-68,0
1.0,946688010050004,0.0625,946688010050004,5.620505606812989,1,1,nan,92,1,0.02064409578860446,2017-07-03 08:12:58,e2801160600002073a496cb7,1,56765625.0,-1.0,1,3664,nan,12,2223370,-68,0
1.0,946688010062270,0.1875,946688010062270,1.4910293258248433,3,1,nan,93,1,0.061932287365813375,2017-07-03 08:12:58,00e200600322f148a4000000,1,170296875.0,0.03125,1,972,nan,12,2235636,-47,0
4.0,946688010072253,-0.125,946688010072253,2.84706834231575,65534,1,nan,94,1,-0.04128819157720892,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-113531250.0,0.90625,1,1856,nan,12,2245619,-57,0
3.0,946688010091382,-0.5625,946688010091382,2.8654761117703775,65527,1,0.07657712112499229,95,1,-0.18579686209744012,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-510890625.0,-0.09375,1,1868,0.02529384677951851,12,2264748,-58,0
1.0,946688010100962,0.375,946688010100962,1.607611865704152,6,1,nan,96,1,0.12386457473162675,2017-07-03 08:12:58,00e200600322f148a4000000,1,340593750.0,0.03125,1,1048,nan,12,2274328,-47,0
0.0,946688010112655,-0.8125,946688010112655,5.651185222570702,65523,1,nan,97,1,-0.26837324525185796,2017-07-03 08:12:58,e2801160600002073a496cb7,1,-737953125.0,-2.0,1,3684,nan,12,2286021,-69,0
1.0,946688010122680,0.5,946688010122680,4.460816131171445,8,1,nan,98,1,0.16515276630883569,2017-07-03 08:12:58,e2801160600002073a494047,1,454125000.0,-0.23333333333333428,1,2908,nan,12,2296046,-69,0
3.0,946688010174121,0.375,946688010174121,2.945243112740431,6,1,nan,99,1,0.12386457473162675,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,340593750.0,-0.09375,1,1920,nan,12,2347487,-58,0
1.0,946688010183739,0.0625,946688010183739,1.7548740213411735,1,1,nan,100,1,0.02064409578860446,2017-07-03 08:12:58,00e200600322f148a4000000,1,56765625.0,0.03125,1,1144,nan,12,2357105,-47,0
1.0,946688010199359,1.0625,946688010199359,1.2640001692177683,17,1,nan,101,1,0.3509496284062758,2017-07-03 08:12:58,e2801160600002073a494047,1,965015625.0,-0.23333333333333428,1,824,nan,12,2372725,-69,0
1.0,946688010214890,0.125,946688010214890,4.896466674930966,2,1,nan,102,1,0.04128819157720892,2017-07-03 08:12:58,00e200600322f148a4000000,1,113531250.0,0.03125,1,3192,nan,12,2388256,-47,0
3.0,946688010224796,0.1875,946688010224796,6.080699843178682,3,1,nan,103,1,0.061932287365813375,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,170296875.0,-0.09375,1,3964,nan,12,2398162,-58,0
1.0,946688010287318,0.125,946688010287318,5.884350302329319,2,1,nan,104,1,0.04126547455295736,2017-07-03 08:12:58,00e200600322f148a4000000,1,113593750.0,0.21621621621621756,1,3836,nan,13,2460684,-47,0
3.0,946688010297268,0.5,946688010297268,3.9699422790480394,8,1,nan,105,1,0.16506189821182943,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,454375000.0,0.47222222222222143,1,2588,nan,13,2470634,-58,0
1.0,946688010322385,0.1875,946688010322385,5.878214379177777,3,1,nan,106,1,0.061898211829436035,2017-07-03 08:12:58,00e200600322f148a4000000,1,170390625.0,0.21621621621621756,1,3832,nan,13,2495751,-47,0
3.0,946688010332309,0.25,946688010332309,3.9392626632903265,4,1,nan,107,1,0.08253094910591471,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,227187500.0,0.47222222222222143,1,2568,nan,13,2505675,-58,0
3.0,946688010383464,0.0625,946688010383464,3.8963112012295285,1,1,-0.0668159270843516,108,1,0.02063273727647868,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,56796875.0,0.47222222222222143,1,2540,-0.022057527510652524,13,2556830,-58,0
1.0,946688010393122,0.1875,946688010393122,5.915029918087033,3,1,nan,109,1,0.061898211829436035,2017-07-03 08:12:58,00e200600322f148a4000000,1,170390625.0,0.21621621621621756,1,3856,nan,13,2566488,-47,0
3.0,946688010413805,0.5,946688010413805,3.890175278077986,8,1,nan,110,1,0.16506189821182943,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,454375000.0,0.47222222222222143,1,2536,nan,13,2587171,-58,0
1.0,946688010427943,0.1875,946688010427943,5.957981380147831,3,1,nan,111,1,0.061898211829436035,2017-07-03 08:12:58,00e200600322f148a4000000,1,170390625.0,0.21621621621621756,1,3884,nan,13,2601309,-47,0
5.0,946688010490541,0.1875,946688010490541,4.724660826687775,3,1,nan,112,1,0.061864173769590323,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,170484375.0,1.085714285714289,1,3080,nan,14,2663907,-57,0
1.0,946688010500245,0.5,946688010500245,0.44178646691106466,8,1,nan,113,1,0.16497113005224084,2017-07-03 08:12:58,00e200600322f148a4000000,1,454625000.0,0.0625,1,288,nan,14,2673611,-47,0
1.0,946688010522962,0.625,946688010522962,0.48473792897186263,10,1,0.1504586323018005,114,1,0.20621391256530108,2017-07-03 08:12:58,00e200600322f148a4000000,1,568281250.0,0.0625,1,316,0.04964266119388523,14,2696328,-47,0
5.0,946688010540433,-0.125,946688010540433,4.8351074434155406,65534,1,nan,115,1,-0.04124278251306021,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-113656250.0,1.085714285714289,1,3152,nan,14,2713799,-57,0
1.0,946688010585499,0.1875,946688010585499,0.5829126993965437,3,1,nan,116,1,0.061864173769590323,2017-07-03 08:12:58,00e200600322f148a4000000,1,170484375.0,0.0625,1,380,nan,14,2758865,-47,0
5.0,946688010597324,-0.125,946688010597324,4.871922982324796,65534,1,nan,117,1,-0.04124278251306021,2017-07-03 08:12:59,35fffffff4a246cfdff1db01,1,-113656250.0,1.085714285714289,1,3176,nan,14,2770690,-57,0
